serial,brand,gender,price,total_sale,seller_reviews,year,volume
1021,Louis XVI,Men's watch/Unisex,49252.5,14641.0,7432.0,2024-01-01,High Sale
1023,Zelos,Men's watch/Unisex,45622.5,1099.0,895.0,2023-01-01,Medium Sale
1029,NOMOS,Men's watch/Unisex,241560.0,3118.0,2459.0,2024-01-01,High Sale
1030,Chronographe Suisse Cie,Men's watch/Unisex,125235.0,739.0,489.0,1950-01-01,Medium Sale
1031,Chronoswiss,Men's watch/Unisex,212932.5,311.0,226.0,2024-01-01,Low Sale
1036,Corum,Women's watch,474375.0,1391.0,993.0,2024-01-01,Medium Sale
1037,Sector,Women's watch,16005.0,14641.0,7432.0,2024-01-01,High Sale
1048,Jacob & Co.,Men's watch/Unisex,412417.5,522.0,375.0,2024-01-01,Low Sale
1056,Perseo,Men's watch/Unisex,13447.5,14642.0,448.0,1970-01-01,High Sale
1058,Corum,Men's watch/Unisex,284625.0,249.0,172.0,2022-01-01,Low Sale
1063,Cartier,Men's watch/Unisex,560587.5,409.0,270.0,2024-01-01,Low Sale
1065,Lorus,Men's watch/Unisex,5857.5,14641.0,7432.0,2024-01-01,High Sale
1067,Versace,Women's watch,30607.5,14642.0,448.0,2019-01-01,High Sale
1068,Rotary,Men's watch/Unisex,11550.0,14641.0,7432.0,2024-01-01,High Sale
1069,Bomberg,Men's watch/Unisex,57337.5,249.0,172.0,2021-01-01,Low Sale
1074,Jaquet-Droz,Men's watch/Unisex,1839255.0,2224.0,1454.0,2016-01-01,Medium Sale
1075,Bell & Ross,Men's watch/Unisex,569250.0,239.0,188.0,2012-01-01,Low Sale
